iter	Passed	Remaining
894	2159	253
895	2161	250
896	2163	248
897	2165	246
898	2168	243
899	2170	241
900	2172	238
901	2174	236
902	2176	233
903	2178	231
904	2180	228
905	2182	226
906	2185	224
907	2187	221
908	2189	219
909	2190	216
910	2192	214
911	2194	211
912	2196	209
913	2198	206
914	2201	204
915	2203	202
916	2205	199
917	2207	197
918	2209	194
919	2211	192
920	2213	189
921	2215	187
922	2218	185
923	2220	182
924	2222	180
925	2224	177
926	2226	175
927	2228	172
928	2230	170
929	2232	168
930	2235	165
931	2237	163
932	2239	160
933	2241	158
934	2243	155
935	2245	153
936	2248	151
937	2251	148
938	2254	146
939	2256	144
940	2258	141
941	2260	139
942	2263	136
943	2265	134
944	2267	131
945	2269	129
946	2271	127
947	2273	124
948	2276	122
949	2278	119
950	2280	117
951	2282	115
952	2284	112
953	2286	110
954	2288	107
955	2290	105
956	2293	103
957	2295	100
958	2297	98
959	2299	95
960	2301	93
961	2303	91
962	2305	88
963	2308	86
964	2310	83
965	2312	81
966	2314	78
967	2316	76
968	2319	74
969	2321	71
970	2323	69
971	2325	66
972	2327	64
973	2329	62
974	2331	59
975	2333	57
976	2336	54
977	2338	52
978	2340	50
979	2342	47
980	2344	45
981	2346	43
982	2348	40
983	2350	38
984	2352	35
985	2355	33
986	2357	31
987	2359	28
988	2361	26
989	2363	23
990	2365	21
991	2367	19
992	2370	16
993	2372	14
994	2374	11
995	2376	9
996	2378	7
997	2380	4
998	2382	2
999	2385	0
